mape_scores_,mape_scores_std,scores_,scores_std,val_scores_,val_scores_std,n_estimators_,n_estimators_std,max_depth
1.165757293758874,0.001259656318256635,0.08190898512181324,9.598205151505748e-05,0.0819676,6.529195968877231e-05,2368.4,141.25381410779676,5
1.1597227233786547,0.00031031156818563723,0.0815621206321338,0.00012548562469256403,0.08162699999999999,4.888353506038732e-05,1671.2,58.16321861795477,6
1.1564293932221865,0.000835863081293329,0.08136431862931415,0.00013386837722906424,0.08139320000000001,1.1906300852910864e-05,1184.8,18.776581158453737,7
1.1542791825370764,0.0006756301054689426,0.08124577412448993,0.00012226804414164631,0.0812882,2.816664694279533e-05,909.6,50.27365115047842,8
1.1538563848658314,0.00045720655270335323,0.08122045900282607,0.00012509683498681498,0.0812718,2.046851240320108e-05,646.6,28.345017198795276,9
1.1534045525389947,0.0006391874160866408,0.08123225694273419,0.00013752400722346104,0.0812872,2.376047137579243e-05,488.0,17.458522274236156,10
1.1534955691832867,0.0007397548347382847,0.08126471144964462,0.00012008195867533851,0.0813276,2.0838426044208338e-05,408.0,30.403947112176077,11
1.1543091296234012,0.0007282036823250246,0.08134297107476503,0.00011230359238011355,0.08141,1.5019986684413999e-05,332.0,9.50789145920377,12
1.155439072040617,0.0006602736416008365,0.0814486236487714,0.00013500287437250382,0.08150379999999999,1.9446336415893616e-05,301.2,15.48418548067673,13
1.157379741927772,0.0006332022056030988,0.08160163604609996,0.00012725517614615392,0.0816682,2.66112758055662e-05,237.4,19.61224107541002,14
